-2.0,-2.0,accelerometer,1557195015680,-0.008710282854735851,0.3225838840007782,0.9640718102455139
-2.0,-2.0,gyroscope,1557195015684,-0.0070648193359375,-0.0005340576171875,-0.00775146484375
-2.0,-2.0,accelerometer,1557195015687,-0.008710282854735851,0.3196711242198944,0.9572675824165344
-2.0,-2.0,gyroscope,1557195015689,-0.0064697265625,0.0202484130859375,0.0032501220703125
-2.0,-2.0,accelerometer,1557195015691,-0.01115314569324255,0.3245241940021515,0.9490023255348206
-2.0,-2.0,gyroscope,1557195015694,0.0008697509765625,0.0184173583984375,0.0069122314453125
-2.0,-2.0,accelerometer,1557195015697,-0.01115314569324255,0.3259805738925934,0.9431689977645874
-2.0,-2.0,gyroscope,1557195015700,0.0124664306640625,-0.007232666015625,0.0069122314453125
-2.0,-2.0,accelerometer,1557195015703,-0.007244565524160862,0.3225838840007782,0.9460849165916443
-2.0,-2.0,gyroscope,1557195015706,0.0173492431640625,-0.0255584716796875,0.0056915283203125
-2.0,-2.0,accelerometer,1557195015710,-0.007734694052487612,0.32500964403152466,0.9577515125274658
-2.0,-2.0,gyroscope,1557195015713,0.0136871337890625,-0.03289794921875,0.00750732421875
-2.0,-2.0,accelerometer,1557195015739,-0.00626742048189044,0.32695305347442627,0.9601819515228271
-2.0,-2.0,gyroscope,1557195015743,0.0008697509765625,-0.0176239013671875,0.00262451171875
-2.0,-2.0,accelerometer,1557195015746,-0.01115314569324255,0.3313206434249878,0.9562935829162598
-2.0,-2.0,gyroscope,1557195015749,0.0106353759765625,-0.0286102294921875,-0.00286865234375
-2.0,-2.0,accelerometer,1557195015751,-0.004801703151315451,0.32209688425064087,0.9572675824165344
-2.0,-2.0,gyroscope,1557195015754,0.026519775390625,-0.0310516357421875,-0.01751708984375
-2.0,-2.0,accelerometer,1557195015757,-0.0008931229822337627,0.3109343945980072,0.968447208404541
-2.0,-2.0,gyroscope,1557195015759,0.0112457275390625,-0.02923583984375,-0.00897216796875
-2.0,-2.0,accelerometer,1557195015761,-0.0008931229822337627,0.3172438144683838,0.9665037989616394
-2.0,-2.0,gyroscope,1557195015763,-0.0015716552734375,-0.006011962890625,-0.0022430419921875
-2.0,-2.0,accelerometer,1557195015765,-0.0038261141162365675,0.32015660405158997,0.9621284604072571
-2.0,-2.0,gyroscope,1557195015767,0.0057525634765625,0.0147552490234375,-0.0034637451171875
-2.0,-2.0,accelerometer,1557195015771,-0.00626742048189044,0.3177308440208435,0.9475443959236145
-2.0,-2.0,gyroscope,1557195015773,0.0130767822265625,0.011688232421875,-0.00531005859375
-2.0,-2.0,accelerometer,1557195015776,-0.00675754901021719,0.3182147443294525,0.9417095184326172
-2.0,-2.0,gyroscope,1557195015778,0.030181884765625,-0.012725830078125,0.0081329345703125
-2.0,-2.0,accelerometer,1557195015780,-0.009200411848723888,0.3274369537830353,0.9475443959236145
-2.0,-2.0,gyroscope,1557195015783,0.030181884765625,-0.0194549560546875,0.00872802734375
-2.0,-2.0,accelerometer,1557195015787,-0.007734694052487612,0.3298642337322235,0.949974775314331
-2.0,-2.0,gyroscope,1557195015789,0.0057525634765625,-0.0164031982421875,-0.00408935546875
-2.0,-2.0,accelerometer,1557195015794,-0.010177556425333023,0.32646602392196655,0.9533777236938477
-2.0,-2.0,gyroscope,1557195015799,-0.0205078125,-0.0145721435546875,-0.01568603515625
-2.0,-2.0,accelerometer,1557195015801,-0.010177556425333023,0.3167583644390106,0.9514327645301819
-2.0,-2.0,gyroscope,1557195015804,-0.0272369384765625,-0.0145721435546875,-0.01751708984375
-2.0,-2.0,accelerometer,1557195015805,-0.010177556425333023,0.3157874345779419,0.9553226232528687
-2.0,-2.0,gyroscope,1557195015807,-0.0174560546875,-0.0218963623046875,-0.0071258544921875
-2.0,-2.0,accelerometer,1557195015808,-0.01115314569324255,0.3230678141117096,0.9645588397979736
-2.0,-2.0,gyroscope,1557195015810,-0.004638671875,-0.015167236328125,0.00140380859375
-2.0,-2.0,accelerometer,1557195015812,-0.008223266340792179,0.32209688425064087,0.9679601788520813
-2.0,-2.0,gyroscope,1557195015813,-0.002197265625,0.002532958984375,-0.0010223388671875
-2.0,-2.0,accelerometer,1557195015815,-0.00675754901021719,0.3191841244697571,0.96552973985672
-2.0,-2.0,gyroscope,1557195015817,-0.0076904296875,0.008636474609375,-0.0046844482421875
-2.0,-2.0,accelerometer,1557195015820,-0.00675754901021719,0.3153019845485687,0.9626123309135437
-2.0,-2.0,gyroscope,1557195015821,-0.015625,0.001312255859375,0.0008087158203125
-2.0,-2.0,accelerometer,1557195015823,-0.007734694052487612,0.3191841244697571,0.9703921675682068
-2.0,-2.0,gyroscope,1557195015824,-0.00341796875,0.004974365234375,0.0069122314453125
-2.0,-2.0,accelerometer,1557195015826,-0.0013832515105605125,0.3182147443294525,0.9689342379570007
-2.0,-2.0,gyroscope,1557195015827,0.0081939697265625,0.011688232421875,0.0154571533203125
-2.0,-2.0,accelerometer,1557195015942,8.246606012107804e-05,0.32015660405158997,0.9635863900184631
-2.0,-2.0,gyroscope,1557195015945,0.019195556640625,0.0208587646484375,0.0203399658203125
-2.0,-2.0,gyroscope,1557195015947,0.022247314453125,0.0239105224609375,0.021575927734375
-2.0,-2.0,accelerometer,1557195015949,-0.0023588405456393957,0.3284078538417816,0.9606689214706421
-2.0,-2.0,accelerometer,1557195015951,-0.0052918316796422005,0.33180609345436096,0.9485152959823608
-2.0,-2.0,gyroscope,1557195015953,0.019805908203125,0.0226898193359375,-0.00286865234375
